ticker,premarket_price,yesterday_close,gap_pct,rvol,avg_volume_10d,trend_5d,breakout_score,atr_10d,volatility_score,rsi,price_source,norm_rvol,norm_breakout,norm_volatility,norm_trend,rsi_score,rsi_label,norm_gap,score,score_prev,score_trend,trend_dir,scan_time_utc,snapshot_utc
DXC,9.86,9.91,-0.005,0.7446,7620380,4,0.995,0.431,0.0435,63.4,yf_premarket,0.07476954592010925,0.995,0.05653047555257869,0.8,1.5,neutral,0.0,4.4304,4.5191,-0.089,steady,12:47:25,2026-07-06 12:47:25
EQR,69.81,69.83,-0.0003,0.7824,3239510,4,1.0,1.2036,0.0172,66.7,yf_premarket,0.07856526017713332,1.0,0.02129939718687207,0.8,1.5,neutral,0.0,4.4285,,,new,12:47:25,2026-07-06 12:47:25
ALRM,49.99,49.69,0.006,0.4939,786210,4,0.9851,1.5966,0.0321,63.3,yf_premarket,0.049595324644026266,0.9851,0.04125920964501004,0.8,1.5,neutral,0.040295500335795834,4.4257,4.4864,-0.061,steady,12:47:25,2026-07-06 12:47:25
BRZE,23.21,23.81,-0.0252,0.7935,2553720,4,0.9876,1.0865,0.0456,64.7,yf_premarket,0.07967987468118008,0.9876,0.05934360348292029,0.8,1.5,neutral,0.0,4.4244,4.4405,-0.016,steady,12:47:25,2026-07-06 12:47:25
GEO,31.98,30.25,0.0572,0.5648,2532900,3,0.8122,1.037,0.0343,65.6,yf_premarket,0.05671479926897354,0.8122,0.04420629604822504,0.6,1.5,neutral,0.38415043653458697,4.4078,,,new,12:47:25,2026-07-06 12:47:25
DEI,12.51,12.51,-0.0,0.9283,2344070,4,0.973,0.3595,0.0287,57.5,yf_premarket,0.0932159138834776,0.973,0.03670462156731413,0.8,1.5,neutral,-0.0,4.4042,4.4141,-0.01,steady,12:47:25,2026-07-06 12:47:25
HIW,31.8,31.86,-0.0019,0.6286,3100180,4,0.994,0.724,0.0227,63.1,yf_premarket,0.06312132227421526,0.994,0.02866711319490958,0.8,1.5,neutral,0.0,4.397,,,new,12:47:25,2026-07-06 12:47:25
CRBG,29.94,29.76,0.006,0.6556,4608560,4,0.9586,0.8155,0.0274,68.2,yf_premarket,0.06583254674351816,0.9586,0.03496316141995981,0.8,1.5,neutral,0.040295500335795834,4.3939,4.4749,-0.081,steady,12:47:25,2026-07-06 12:47:25
AEG,8.77,8.66,0.0127,1.2075,5278800,4,0.8889,0.091,0.0105,64.2,yf_premarket,0.12125198321049142,0.8889,0.012324179504353648,0.8,1.5,neutral,0.08529214237743452,4.3938,4.4801,-0.086,steady,12:47:25,2026-07-06 12:47:25
CUZ,30.74,31.06,-0.0103,0.8211,1771580,4,0.9774,0.651,0.021,69.5,yf_premarket,0.08245134858313417,0.9774,0.02638981915606162,0.8,1.5,neutral,0.0,4.3917,4.3988,-0.007,steady,12:47:25,2026-07-06 12:47:25
BHF,64.01,64.01,-0.0,0.9885,501360,4,0.9682,0.5979,0.0093,59.1,yf_premarket,0.09926094029281224,0.9682,0.010716677829872739,0.8,1.5,neutral,-0.0,4.3906,4.3936,-0.003,steady,12:47:25,2026-07-06 12:47:25
ARCC,18.7199,18.73,-0.0005,0.6022,5836800,5,0.8938,0.297,0.0159,53.2,yf_premarket,0.060470347237563504,0.8938,0.01955793703951775,1.0,1.5,neutral,0.0,4.3881,4.4814,-0.093,steady,12:47:25,2026-07-06 12:47:25
DCTH,13.2001,13.2,0.0,0.61,553910,4,0.984,0.564,0.0427,69.5,yf_premarket,0.06125358986202879,0.984,0.055458807769591424,0.8,1.5,neutral,0.0,4.3876,4.4026,-0.015,steady,12:47:25,2026-07-06 12:47:25
GME,22.7761,22.82,-0.0019,0.9159,4994320,5,0.867,0.535,0.0234,58.4,yf_premarket,0.09197075894201996,0.867,0.029604822505023443,1.0,1.5,neutral,0.0,4.3868,,,new,12:47:25,2026-07-06 12:47:25
CMG,35.19,35.39,-0.0057,0.658,22915030,4,0.9841,1.042,0.0294,69.7,yf_premarket,0.06607354447412286,0.9841,0.03764233087742799,0.8,1.5,neutral,0.0,4.3861,4.3963,-0.01,steady,12:47:25,2026-07-06 12:47:25
DEC,14.06,14.3,-0.0168,0.653,1826150,4,0.9838,0.4246,0.0297,56.7,yf_premarket,0.0655714658686964,0.9838,0.038044206296048225,0.8,1.5,neutral,0.0,4.385,4.3953,-0.01,steady,12:47:25,2026-07-06 12:47:25
