ticker,premarket_price,premarket_volume,score,score_long,gap_pct,rvol,premarket_rvol,avg_volume_10d,trend_5d,breakout_score,atr_10d,volatility_score,premarket_momentum_score,direction
DELL,465.96,0,6.6963,0.0,0.0,1.4561,0.0,14153610,5,0.9855,19.184,0.0412,0.0,down
IONQ,69.28,0,4.5914,0.0,0.0,0.8278,0.0,34044740,3,0.8833,5.761,0.0832,0.0,down
NVTS,24.86,0,2.6303,0.0,0.0,0.7382,0.0,33715120,1,0.451,3.0064,0.1209,0.0,down
RDDT,177.85,0,5.7466,0.0,0.0,0.9439,0.0,6123760,5,0.8887,9.4781,0.0533,0.0,down
BB,9.72,0,6.1911,0.0,0.0,1.1226,0.0,39958260,5,0.9681,0.691,0.0711,0.0,down
GME,21.36,0,3.0246,0.0,0.0,1.3253,0.0,5097300,1,0.2554,0.551,0.0258,0.0,down
WING,158.16,0,5.103,0.0,0.0,0.8297,0.0,1259510,4,0.9004,9.1195,0.0577,0.0,down
GWW,1243.03,0,3.6374,0.0,0.0,0.8609,0.0,264360,3,0.4135,23.451,0.0189,0.0,down
ADP,233.74,0,5.5699,0.0,0.0,1.4292,0.0,2777920,3,0.9495,6.349,0.0272,0.0,down
AGNC,10.23,0,3.887,0.0,0.0,0.932,0.0,15823060,3,0.4862,0.1694,0.0166,0.0,down
PL,46.46,0,4.5036,0.0,0.0,1.1218,0.0,12064420,3,0.6143,4.2866,0.0923,0.0,down
O,59.55,0,2.4059,0.0,0.0,1.2529,0.0,5982970,1,0.0064,0.8174,0.0137,0.0,down
MRVL,219.43,0,5.3477,0.0,0.0,0.9746,0.0,33681290,4,0.9083,15.17,0.0691,0.0,down
QBTS,29.18,0,4.0715,0.0,0.0,0.8772,0.0,55730290,2,0.8284,2.8807,0.0987,0.0,down
SMCI,46.88,0,6.0576,0.0,0.0,1.1023,0.0,45202880,5,0.9226,2.762,0.0589,0.0,down
POET,13.89,0,2.9908,0.0,0.0,1.0128,0.0,45796770,1,0.4215,1.785,0.1285,0.0,down
LUNR,38.21,0,3.2084,0.0,0.0,0.7597,0.0,21096150,2,0.4605,5.6492,0.1478,0.0,down
NBIS,264.51,0,5.82,0.0,0.0,1.3146,0.0,18378100,4,0.8879,19.1168,0.0723,0.0,down
LPSN,2.41,0,5.3553,0.0,0.0,0.959,0.0,119390,4,0.9318,0.128,0.0531,0.0,down
FNKO,5.59,0,5.1191,0.0,0.0,0.9396,0.0,673790,4,0.8276,0.3045,0.0545,0.0,down
CRSR,11.48,0,5.35,0.0,0.0,1.1799,0.0,6434080,4,0.7484,0.9551,0.0832,0.0,down
U,32.17,0,6.5576,0.0,0.0,1.4093,0.0,10484610,5,0.9465,1.6299,0.0507,0.0,down
OCS,14.51,0,8.9705,0.0,0.0,5.1435,0.0,1297910,2,0.0404,2.5325,0.1745,0.0,down
MCHP,91.52,0,2.696,0.0,0.0,1.1093,0.0,10202830,1,0.2432,4.1725,0.0456,0.0,down
MDA,42.46,0,3.5896,0.0,0.0,0.7745,0.0,1367620,3,0.4322,2.693,0.0634,0.0,down
MELI,1730.98,0,5.1554,0.0,0.0,1.1016,0.0,553480,3,0.9863,52.577,0.0304,0.0,down
MRAM,30.11,0,3.2367,0.0,0.0,0.9098,0.0,5238580,2,0.3482,5.2884,0.1756,0.0,down
QUCY,2.23,0,1.754,0.0,0.0,0.2516,0.0,14187240,2,0.0186,0.757,0.3395,0.0,down
NIO,5.98,0,5.4662,0.0,0.0,1.1435,0.0,56905770,4,0.8515,0.287,0.048,0.0,down
SPIR,20.56,0,3.201,0.0,0.0,0.9252,0.0,1713920,2,0.3525,2.2225,0.1081,0.0,down
NU,12.99,0,5.1078,0.0,0.0,1.0262,0.0,58006870,4,0.7687,0.4055,0.0312,0.0,down
ON,120.92,0,3.6274,0.0,0.0,0.8205,0.0,11119040,2,0.6726,6.213,0.0514,0.0,down
PLUG,3.94,0,3.5874,0.0,0.0,0.7817,0.0,82666700,2,0.6636,0.345,0.0876,0.0,down
