date,scan_time,ticker,pm_price,prev_close,gap_pct,pm_volume,notable_gap,rsi,macd_signal,tech_source,market_regime,event_name
2026-06-22,14:33 BST,ARTV,9.69,9.99,-3.0,17551,True,,,unavailable,Unknown,None
2026-06-22,14:33 BST,ALLR,1.42,1.47,-3.4,10614,True,,,unavailable,Unknown,None
2026-06-22,14:33 BST,ARAI,0.463,0.4795,-3.44,35842,True,,,unavailable,Unknown,None
2026-06-22,14:33 BST,AMRZ,53.16,55.3,-3.87,197911,True,,,unavailable,Unknown,None
2026-06-22,14:33 BST,ANY,3.45,3.59,-3.9,53473,True,,,unavailable,Unknown,None
2026-06-22,14:33 BST,AMPG,8.83,9.2,-4.02,225793,True,,,unavailable,Unknown,None
2026-06-22,14:33 BST,ACN,123.382,128.7,-4.13,852432,True,,,unavailable,Unknown,None
2026-06-22,14:33 BST,AIDX,0.622,0.652,-4.6,38919,True,,,unavailable,Unknown,None
2026-06-22,14:33 BST,ASAN,6.63,6.95,-4.6,246775,True,,,unavailable,Unknown,None
2026-06-22,14:33 BST,ASTI,5.9102,6.2,-4.67,83190,True,,,unavailable,Unknown,None
2026-06-22,14:33 BST,AMBQ,87.9,93.0,-5.48,44030,True,,,unavailable,Unknown,None
2026-06-22,14:33 BST,AGI,31.325,35.2,-11.01,659229,True,,,unavailable,Unknown,None
2026-06-22,14:33 BST,AEMD,1.7,1.94,-12.37,84530,True,,,unavailable,Unknown,None
2026-06-22,14:33 BST,ASTC,11.515,13.68,-15.83,20688,True,,,unavailable,Unknown,None
2026-06-22,14:33 BST,AIXI,2.74,6.16,-55.52,405772,True,,,unavailable,Unknown,None
